site,kind,target,notes
0x02000CA6,bl,0x0201A198,direct immediate target
0x02000CAA,bl,0x0201A2E0,direct immediate target
0x02000CAE,bl,0x0201A3F0,direct immediate target
0x02000CB4,bl,0x0201A448,direct immediate target
0x02000CBC,blx,0x020DBAA0,direct immediate target
0x02000CC0,bl,0x020270C4,direct immediate target
0x02000CC4,bl,0x020145CC,direct immediate target
0x02000CC8,bl,0x02000E6C,direct immediate target
0x02000CCC,bl,0x02002CA8,direct immediate target
0x02000CD4,bl,0x02002CEC,direct immediate target
0x02000CDC,bl,0x02002CEC,direct immediate target
0x02000CE4,bl,0x02002CEC,direct immediate target
0x02000CF0,bl,0x02027444,direct immediate target
0x02000CF8,bl,0x02005CD0,direct immediate target
0x02000D00,bl,0x0202D0F4,direct immediate target
0x02000D0A,bl,0x0202913C,direct immediate target
0x02000D12,bl,0x02004144,direct immediate target
0x02000D16,bl,0x020253D0,direct immediate target
0x02000D1C,bl,0x0203A278,direct immediate target
0x02000D28,bl,0x0203AF10,direct immediate target
0x02000D30,bl,0x02027764,direct immediate target
0x02000D3A,bl,0x02092D28,direct immediate target
0x02000D58,bl,0x02000EF4,direct immediate target
0x02000D62,bl,0x0200FB8C,direct immediate target
0x02000D6A,bl,0x0200FB8C,direct immediate target
0x02000D78,bl,0x02000EF4,direct immediate target
0x02000D7E,bl,0x020254E8,direct immediate target
0x02000D8C,bl,0x020010C8,direct immediate target
0x02000D90,bl,0x0200B4F8,direct immediate target
0x02000D94,bl,0x02018318,direct immediate target
0x02000D9E,blx,0x020D3AAC,direct immediate target
0x02000DAC,bl,0x02000F60,direct immediate target
0x02000DB0,bl,0x0200110C,direct immediate target
0x02000DB4,bl,0x0201A474,direct immediate target
0x02000DCC,bl,0x02000FA4,direct immediate target
0x02000DD0,bl,0x020363D0,direct immediate target
0x02000DD8,bl,0x02000F60,direct immediate target
0x02000DDC,blx,0x020D3B9C,direct immediate target
0x02000DE0,bl,0x02000E84,direct immediate target
0x02000DE4,blx,0x020D3B9C,direct immediate target
0x02000DEA,bl,0x0201F818,direct immediate target
0x02000DF0,bl,0x0201F818,direct immediate target
0x02000DFE,blx,0x020D1558,direct immediate target
0x02000E08,bl,0x02014604,direct immediate target
0x02000E0C,bl,0x02018348,direct immediate target
0x02000E10,bl,0x020270F4,direct immediate target
0x02000E16,bl,0x0201F818,direct immediate target
0x02000E1E,blx,0x020D1558,direct immediate target
0x02000E2A,bl,0x0200B564,direct immediate target
0x02000E2E,bl,0x0200FAC4,direct immediate target
0x02000E3A,blx_reg,,indirect callback/function-pointer call
0x02000E3C,bl,0x020041D8,direct immediate target
0x02000E42,bl,0x0201F818,direct immediate target
